series_id,year,month,date,value,footnotes
LAUCN240010000000005,2014,December,2014-12-01,30963,
LAUCN240010000000005,2014,November,2014-11-01,31089,
LAUCN240010000000005,2014,October,2014-10-01,31234,
LAUCN240010000000005,2014,September,2014-09-01,30983,
LAUCN240010000000005,2014,August,2014-08-01,30681,
LAUCN240010000000005,2014,July,2014-07-01,31432,
LAUCN240010000000005,2014,June,2014-06-01,31011,
LAUCN240010000000005,2014,May,2014-05-01,31286,
LAUCN240010000000005,2014,April,2014-04-01,31221,
LAUCN240010000000005,2014,March,2014-03-01,30871,
LAUCN240010000000005,2014,February,2014-02-01,30523,
LAUCN240010000000005,2014,January,2014-01-01,30348,
LAUCN240010000000005,2013,December,2013-12-01,31140,
LAUCN240010000000005,2013,November,2013-11-01,31294,
LAUCN240010000000005,2013,October,2013-10-01,31312,
LAUCN240010000000005,2013,September,2013-09-01,31193,
LAUCN240010000000005,2013,August,2013-08-01,30367,
LAUCN240010000000005,2013,July,2013-07-01,30727,
LAUCN240010000000005,2013,June,2013-06-01,31061,
LAUCN240010000000005,2013,May,2013-05-01,31395,
LAUCN240010000000005,2013,April,2013-04-01,31159,
LAUCN240010000000005,2013,March,2013-03-01,30796,
LAUCN240010000000005,2013,February,2013-02-01,30605,
LAUCN240010000000005,2013,January,2013-01-01,30257,
LAUCN240010000000005,2012,December,2012-12-01,31148,
LAUCN240010000000005,2012,November,2012-11-01,31135,
LAUCN240010000000005,2012,October,2012-10-01,31250,
LAUCN240010000000005,2012,September,2012-09-01,31044,
LAUCN240010000000005,2012,August,2012-08-01,30607,
LAUCN240010000000005,2012,July,2012-07-01,30798,
LAUCN240010000000005,2012,June,2012-06-01,30895,
LAUCN240010000000005,2012,May,2012-05-01,31171,
LAUCN240010000000005,2012,April,2012-04-01,31062,
LAUCN240010000000005,2012,March,2012-03-01,31202,
LAUCN240010000000005,2012,February,2012-02-01,30939,
LAUCN240010000000005,2012,January,2012-01-01,30306,
LAUCN240010000000005,2011,December,2011-12-01,31147,
LAUCN240010000000005,2011,November,2011-11-01,31358,
LAUCN240010000000005,2011,October,2011-10-01,31395,
LAUCN240010000000005,2011,September,2011-09-01,31217,
LAUCN240010000000005,2011,August,2011-08-01,30878,
LAUCN240010000000005,2011,July,2011-07-01,30944,
LAUCN240010000000005,2011,June,2011-06-01,30834,
LAUCN240010000000005,2011,May,2011-05-01,31272,
LAUCN240010000000005,2011,April,2011-04-01,31207,
LAUCN240010000000005,2011,March,2011-03-01,31056,
LAUCN240010000000005,2011,February,2011-02-01,30579,
LAUCN240010000000005,2011,January,2011-01-01,30476,
