series_id,year,month,date,value,footnotes
LAUCN240350000000003,2014,December,2014-12-01,4.5,
LAUCN240350000000003,2014,November,2014-11-01,4.7,
LAUCN240350000000003,2014,October,2014-10-01,4.5,
LAUCN240350000000003,2014,September,2014-09-01,4.5,
LAUCN240350000000003,2014,August,2014-08-01,5.2,
LAUCN240350000000003,2014,July,2014-07-01,5.3,
LAUCN240350000000003,2014,June,2014-06-01,5.1,
LAUCN240350000000003,2014,May,2014-05-01,4.9,
LAUCN240350000000003,2014,April,2014-04-01,4.7,
LAUCN240350000000003,2014,March,2014-03-01,5.6,
LAUCN240350000000003,2014,February,2014-02-01,5.7,
LAUCN240350000000003,2014,January,2014-01-01,5.6,
LAUCN240350000000003,2013,December,2013-12-01,4.9,
LAUCN240350000000003,2013,November,2013-11-01,5.2,
LAUCN240350000000003,2013,October,2013-10-01,5.3,
LAUCN240350000000003,2013,September,2013-09-01,5.3,
LAUCN240350000000003,2013,August,2013-08-01,5.8,
LAUCN240350000000003,2013,July,2013-07-01,6.0,
LAUCN240350000000003,2013,June,2013-06-01,6.3,
LAUCN240350000000003,2013,May,2013-05-01,6.0,
LAUCN240350000000003,2013,April,2013-04-01,5.7,
LAUCN240350000000003,2013,March,2013-03-01,6.2,
LAUCN240350000000003,2013,February,2013-02-01,6.5,
LAUCN240350000000003,2013,January,2013-01-01,6.8,
LAUCN240350000000003,2012,December,2012-12-01,5.8,
LAUCN240350000000003,2012,November,2012-11-01,5.7,
LAUCN240350000000003,2012,October,2012-10-01,5.6,
LAUCN240350000000003,2012,September,2012-09-01,5.7,
LAUCN240350000000003,2012,August,2012-08-01,6.2,
LAUCN240350000000003,2012,July,2012-07-01,6.4,
LAUCN240350000000003,2012,June,2012-06-01,6.5,
LAUCN240350000000003,2012,May,2012-05-01,6.1,
LAUCN240350000000003,2012,April,2012-04-01,6.1,
LAUCN240350000000003,2012,March,2012-03-01,6.7,
LAUCN240350000000003,2012,February,2012-02-01,7.1,
LAUCN240350000000003,2012,January,2012-01-01,7.1,
LAUCN240350000000003,2011,December,2011-12-01,6.5,
LAUCN240350000000003,2011,November,2011-11-01,6.4,
LAUCN240350000000003,2011,October,2011-10-01,6.5,
LAUCN240350000000003,2011,September,2011-09-01,6.5,
LAUCN240350000000003,2011,August,2011-08-01,6.9,
LAUCN240350000000003,2011,July,2011-07-01,7.0,
LAUCN240350000000003,2011,June,2011-06-01,7.0,
LAUCN240350000000003,2011,May,2011-05-01,6.6,
LAUCN240350000000003,2011,April,2011-04-01,6.5,
LAUCN240350000000003,2011,March,2011-03-01,7.2,
LAUCN240350000000003,2011,February,2011-02-01,7.5,
LAUCN240350000000003,2011,January,2011-01-01,7.6,
